year,team,is_top_3,historical_top_3_finishes,matches_played,avg_scored,avg_conceded,win_percentage
1930,Belgium,0,0,33.0,1.9393939393939394,2.757575757575758,0.30303030303030304
1930,France,0,0,30.0,1.7333333333333334,3.2333333333333334,0.26666666666666666
1930,Brazil,0,0,0.0,0.0,0.0,0.0
1930,Peru,0,0,6.0,0.8333333333333334,3.8333333333333335,0.16666666666666666
1930,Argentina,1,0,27.0,2.814814814814815,0.9259259259259259,0.5925925925925926
1930,Chile,0,0,8.0,2.875,2.0,0.375
1930,Bolivia,0,0,7.0,0.7142857142857143,6.142857142857143,0.0
1930,Paraguay,0,0,11.0,2.090909090909091,2.727272727272727,0.36363636363636365
1930,Uruguay,1,0,27.0,2.2222222222222223,1.1481481481481481,0.5185185185185185
1934,Argentina,0,0,17.0,2.235294117647059,1.2352941176470589,0.5882352941176471
1934,Austria,0,0,36.0,3.0833333333333335,1.3888888888888888,0.6111111111111112
1934,Belgium,0,0,37.0,1.972972972972973,2.891891891891892,0.2702702702702703
1934,Brazil,0,0,8.0,2.625,1.5,0.75
1934,Czechoslovakia,1,0,35.0,1.8571428571428572,1.6571428571428573,0.45714285714285713
1934,Egypt,0,0,4.0,3.25,1.5,0.5
1934,Italy,1,0,30.0,2.533333333333333,1.0666666666666667,0.6333333333333333
1934,Netherlands,0,0,25.0,2.36,2.28,0.4
1934,Germany,1,0,28.0,2.5357142857142856,1.9285714285714286,0.4642857142857143
1938,Germany,0,0,50.0,2.92,1.34,0.7
1938,Brazil,1,0,10.0,2.5,2.6,0.4
1938,Cuba,0,0,12.0,1.75,2.5833333333333335,0.3333333333333333
1938,Czechoslovakia,0,0,36.0,2.111111111111111,1.8055555555555556,0.4722222222222222
1938,France,0,0,28.0,1.8928571428571428,2.0,0.42857142857142855
1938,Hungary,1,0,39.0,2.9743589743589745,2.230769230769231,0.5128205128205128
1938,Italy,1,0,26.0,2.423076923076923,1.1153846153846154,0.6538461538461539
1950,Brazil,1,0,22.0,3.590909090909091,1.5454545454545454,0.5909090909090909
1950,Chile,0,0,23.0,1.7391304347826086,2.0,0.43478260869565216
1950,Italy,0,1,14.0,2.2857142857142856,1.7857142857142858,0.6428571428571429
1950,Spain,0,0,14.0,2.142857142857143,1.7857142857142858,0.35714285714285715
1950,Switzerland,0,0,26.0,1.9230769230769231,2.769230769230769,0.3076923076923077
1950,Mexico,0,0,6.0,4.166666666666667,0.5,1.0
1950,England,0,0,34.0,3.2058823529411766,1.088235294117647,0.7058823529411765
1950,Paraguay,0,0,25.0,2.12,1.8,0.56
1950,Bolivia,0,0,22.0,1.2272727272727273,3.409090909090909,0.22727272727272727
1950,Sweden,1,0,27.0,3.4444444444444446,1.7407407407407407,0.6296296296296297
1954,Austria,1,0,29.0,2.689655172413793,1.5172413793103448,0.41379310344827586
1954,Brazil,0,1,26.0,2.769230769230769,1.0384615384615385,0.6923076923076923
1954,Czechoslovakia,0,0,19.0,1.5263157894736843,1.8421052631578947,0.3684210526315789
1954,France,0,0,29.0,2.310344827586207,1.6896551724137931,0.4482758620689655
1954,Belgium,0,0,33.0,2.272727272727273,2.1818181818181817,0.45454545454545453
1954,Germany,1,0,19.0,2.5789473684210527,1.1578947368421053,0.6842105263157895
1954,Hungary,1,0,27.0,4.037037037037037,1.1851851851851851,0.7407407407407407
1954,Switzerland,0,0,30.0,1.9666666666666666,2.9,0.23333333333333334
1954,Scotland,0,0,28.0,2.0714285714285716,1.3214285714285714,0.5357142857142857
1954,South Korea,0,0,15.0,2.6666666666666665,2.2,0.4666666666666667
1954,England,0,0,35.0,2.4571428571428573,1.6857142857142857,0.5428571428571428
1958,Argentina,0,0,43.0,2.0930232558139537,0.8372093023255814,0.627906976744186
1958,Austria,0,0,36.0,2.2777777777777777,1.8888888888888888,0.4722222222222222
1958,Czechoslovakia,0,0,26.0,1.7692307692307692,1.7307692307692308,0.5
1958,England,0,0,37.0,2.6216216216216215,1.4864864864864864,0.5945945945945946
1958,France,1,0,26.0,2.0,1.5,0.4230769230769231
1958,Hungary,0,1,47.0,3.3404255319148937,1.297872340425532,0.7021276595744681
1958,Scotland,0,0,31.0,1.6129032258064515,1.8709677419354838,0.3870967741935484
