date,home_team,away_team,tournament,neutral,result,home_ranking,away_ranking,ranking_diff,home_elo,away_elo,elo_diff,home_squad_age,away_squad_age,home_market_value,away_market_value,market_value_ratio,home_form_win_rate,home_form_pts_rate,home_form_gf,home_form_ga,home_form_gd,away_form_win_rate,away_form_pts_rate,away_form_gf,away_form_ga,away_form_gd,h2h_matches,h2h_home_wins,h2h_away_wins,h2h_draws,home_days_rest,away_days_rest,is_world_cup
2010-01-12,Egypt,Nigeria,African Cup of Nations,1,HOME,29.0,,,1689.0,,,28.9,25.96,136200000.0,134720000.0,1.0109857482185274,0.6,0.6666666666666666,9,3,6,0.6,0.7333333333333333,9,4,5,10,1,3,6,8,59,0
2010-01-12,Mozambique,Benin,African Cup of Nations,1,DRAW,,,0.0,,,0.0,,,,,,0.4,0.4,2,5,-3,0.6,0.7333333333333333,6,3,3,0,0,0,0,6,6,0
2010-01-13,Cameroon,Gabon,African Cup of Nations,1,AWAY,,,,,,,26.3,,155000000.0,,,0.8,0.8666666666666667,10,2,8,0.4,0.4,6,6,0,10,5,0,5,4,7,0
2010-01-13,Zambia,Tunisia,African Cup of Nations,1,DRAW,,40.0,-60.0,,1636.0,-136.0,,28.8,,68450000.0,0.0,0.8,0.8666666666666667,13,2,11,0.2,0.26666666666666666,4,6,-2,10,2,6,2,4,4,0
2010-01-14,Angola,Malawi,African Cup of Nations,0,HOME,,,,,,,29.2,,52700000.0,,,0.0,0.26666666666666666,6,7,-1,0.4,0.5333333333333333,5,2,3,5,2,2,1,4,3,0
2010-01-14,Mali,Algeria,African Cup of Nations,1,AWAY,,36.0,-64.0,,1743.0,-243.0,,26.4,,229100000.0,0.0,0.2,0.3333333333333333,6,7,-1,0.6,0.6,5,6,-1,10,4,5,1,4,3,0
2010-01-15,Côte d'Ivoire,Ghana,African Cup of Nations,1,HOME,33.0,65.0,32.0,1676.0,1503.0,173.0,26.6,25.1,370800000.0,164900000.0,2.2486355366889024,0.6,0.7333333333333333,8,2,6,0.0,0.2,2,5,-3,10,4,3,3,4,10,0
2010-01-15,Yemen,Kenya,Friendly,0,HOME,,,0.0,,,0.0,,,,,,0.4,0.4,6,10,-4,0.4,0.4,5,6,-1,0,0,0,0,9,6,0
2010-01-16,Nigeria,Benin,African Cup of Nations,1,HOME,,,,,,,25.96,,134720000.0,,,0.4,0.5333333333333333,7,7,0,0.6,0.7333333333333333,7,4,3,10,8,1,1,4,4,0
2010-01-16,Egypt,Mozambique,African Cup of Nations,1,HOME,29.0,,71.0,1689.0,,189.0,28.9,,136200000.0,,,0.6,0.6666666666666666,7,3,4,0.4,0.4666666666666667,4,5,-1,2,2,0,0,4,4,0
2010-01-17,Cameroon,Zambia,African Cup of Nations,1,HOME,,,,,,,26.3,,155000000.0,,,0.6,0.6666666666666666,8,2,6,0.6,0.7333333333333333,12,3,9,10,4,3,3,4,4,0
2010-01-17,Gabon,Tunisia,African Cup of Nations,1,DRAW,,40.0,-60.0,,1636.0,-136.0,,28.8,,68450000.0,0.0,0.6,0.6,7,4,3,0.2,0.26666666666666666,3,5,-2,4,0,2,2,4,4,0
2010-01-17,Thailand,Singapore,King's Cup,0,HOME,,,0.0,,,0.0,,,,,,0.4,0.5333333333333333,7,3,4,0.4,0.4,7,11,-4,10,5,2,3,11,11,0
2010-01-17,Vietnam,China PR,AFC Asian Cup qualification,0,AWAY,,,,,,,,26.65,,,,0.2,0.4,4,4,0,0.4,0.6,7,4,3,4,0,4,0,11,11,0
2010-01-18,Angola,Algeria,African Cup of Nations,0,DRAW,,36.0,,,1743.0,,29.2,26.4,52700000.0,229100000.0,0.23003055434308162,0.2,0.4,7,6,1,0.6,0.6,5,6,-1,8,1,2,5,4,4,0
2010-01-18,Finland,South Korea,Friendly,1,AWAY,,25.0,-75.0,,1752.0,-252.0,,27.5,,118800000.0,0.0,0.4,0.5333333333333333,6,5,1,0.4,0.4666666666666667,7,6,1,2,0,2,0,96,9,0
2010-01-18,Mali,Malawi,African Cup of Nations,1,HOME,,,0.0,,,0.0,,,,,,0.2,0.3333333333333333,6,7,-1,0.4,0.5333333333333333,5,3,2,2,1,0,1,4,4,0
2010-01-19,Burkina Faso,Ghana,African Cup of Nations,1,AWAY,,65.0,-35.0,,1503.0,-3.0,,25.1,,164900000.0,0.0,0.4,0.4666666666666667,3,9,-6,0.0,0.2,3,6,-3,10,6,4,0,8,4,0
2010-01-20,Thailand,Poland,King's Cup,0,AWAY,,,,,,,,27.0,,255600000.0,0.0,0.6,0.6666666666666666,7,2,5,0.2,0.2,1,7,-6,0,0,0,0,3,63,0
2010-01-20,Yemen,Bahrain,AFC Asian Cup qualification,0,HOME,,,0.0,,,0.0,,,,,,0.4,0.4,7,10,-3,0.6,0.6666666666666666,13,2,11,6,0,5,1,5,14,0
2010-01-20,Oman,Sweden,Friendly,0,AWAY,,39.0,-61.0,,1719.0,-219.0,,27.1,,495980000.0,0.0,0.4,0.4,7,7,0,0.6,0.6,7,4,3,0,0,0,0,14,63,0
2010-01-20,Nigeria,Mozambique,African Cup of Nations,1,HOME,,,,,,,25.96,,134720000.0,,,0.6,0.6666666666666666,8,7,1,0.2,0.26666666666666666,3,7,-4,3,2,0,1,4,4,0
2010-01-20,Egypt,Benin,African Cup of Nations,1,HOME,29.0,,71.0,1689.0,,189.0,28.9,,136200000.0,,,0.6,0.6666666666666666,7,3,4,0.6,0.6666666666666666,6,4,2,3,2,0,1,4,4,0
2010-01-20,Chile,Panama,Friendly,0,HOME,,53.0,,,1737.0,,28.0,25.4,139000000.0,5300000.0,26.22641509433962,0.8,0.8,11,8,3,0.2,0.26666666666666666,7,7,0,2,1,0,1,64,180,0
2010-01-21,Cameroon,Tunisia,African Cup of Nations,1,DRAW,,40.0,,,1636.0,,26.3,28.8,155000000.0,68450000.0,2.264426588750913,0.6,0.6666666666666666,8,4,4,0.0,0.13333333333333333,2,5,-3,10,7,2,1,4,4,0
2010-01-21,Gabon,Zambia,African Cup of Nations,1,AWAY,,,0.0,,,0.0,,,,,,0.6,0.6666666666666666,6,2,4,0.4,0.5333333333333333,13,6,7,5,2,3,0,4,4,0
2010-01-22,Latvia,South Korea,Friendly,1,AWAY,,25.0,-75.0,,1752.0,-252.0,,27.5,,118800000.0,0.0,0.4,0.4666666666666667,9,11,-2,0.4,0.4666666666666667,6,5,1,0,0,0,0,69,4,0
2010-01-23,Poland,Singapore,King's Cup,1,HOME,,,,,,,27.0,,255600000.0,,,0.4,0.4,4,5,-1,0.2,0.2,4,11,-7,0,0,0,0,3,6,0
2010-01-23,Syria,Sweden,Friendly,0,DRAW,,39.0,-61.0,,1719.0,-219.0,,27.1,,495980000.0,0.0,0.4,0.5333333333333333,8,4,4,0.6,0.6,6,3,3,0,0,0,0,17,3,0
2010-01-23,United States,Honduras,Friendly,0,AWAY,16.0,,,1721.0,,,26.0,28.59,169700000.0,21000000.0,8.08095238095238,0.4,0.4666666666666667,7,8,-1,0.4,0.4,6,7,-1,10,9,1,0,66,66,0
2010-01-24,Angola,Ghana,African Cup of Nations,0,AWAY,,65.0,,,1503.0,,29.2,25.1,52700000.0,164900000.0,0.31958762886597936,0.2,0.4,7,6,1,0.2,0.4,4,5,-1,5,1,2,2,6,5,0
2010-01-24,Côte d'Ivoire,Algeria,African Cup of Nations,1,AWAY,33.0,36.0,3.0,1676.0,1743.0,-67.0,26.6,26.4,370800000.0,229100000.0,1.618507202095155,0.6,0.7333333333333333,8,3,5,0.4,0.4666666666666667,2,5,-3,10,3,3,4,9,6,0
2010-01-25,Zambia,Nigeria,African Cup of Nations,1,DRAW,,,,,,,,25.96,,134720000.0,0.0,0.4,0.5333333333333333,9,7,2,0.8,0.8,9,5,4,10,2,4,4,4,5,0
2010-01-25,Egypt,Cameroon,African Cup of Nations,1,HOME,29.0,,,1689.0,,,28.9,26.3,136200000.0,155000000.0,0.8787096774193548,0.8,0.8666666666666667,9,2,7,0.6,0.6666666666666666,10,6,4,10,5,2,3,5,4,0
2010-01-26,Argentina,Costa Rica,Friendly,0,HOME,3.0,,,2113.0,,,27.9,27.2,575000000.0,18750000.0,30.666666666666668,0.6,0.6,8,7,1,0.2,0.3333333333333333,7,5,2,3,2,0,1,35,69,0
2010-01-27,South Africa,Zimbabwe,Friendly,0,HOME,60.0,,40.0,1524.0,,24.0,26.3,,44450000.0,,,0.2,0.4,3,2,1,0.4,0.4666666666666667,5,11,-6,10,5,3,2,71,25,0
2010-01-28,Algeria,Egypt,African Cup of Nations,1,AWAY,36.0,29.0,-7.0,1743.0,1689.0,54.0,26.4,28.9,229100000.0,136200000.0,1.68208516886931,0.6,0.6666666666666666,5,5,0,1.0,1.0,11,2,9,10,6,2,2,4,3,0
2010-01-28,Ghana,Nigeria,African Cup of Nations,1,HOME,65.0,,,1503.0,,,25.1,25.96,164900000.0,134720000.0,1.224020190023753,0.4,0.5333333333333333,3,3,0,0.6,0.6666666666666666,8,5,3,10,2,5,3,4,3,0
2010-01-30,Nigeria,Algeria,African Cup of Nations,1,HOME,,36.0,,,1743.0,,25.96,26.4,134720000.0,229100000.0,0.5880401571366216,0.4,0.4666666666666667,5,4,1,0.4,0.4666666666666667,4,9,-5,10,4,3,3,2,2,0
2010-01-31,Ghana,Egypt,African Cup of Nations,1,AWAY,65.0,29.0,-36.0,1503.0,1689.0,-186.0,25.1,28.9,164900000.0,136200000.0,1.21071953010279,0.6,0.6666666666666666,4,3,1,1.0,1.0,14,2,12,10,2,6,2,3,3,0
2010-01-31,Jamaica,Canada,Friendly,0,HOME,,30.0,-70.0,,1784.0,-284.0,,24.6,,21880000.0,0.0,0.4,0.5333333333333333,2,1,1,0.2,0.26666666666666666,3,7,-4,10,3,5,2,75,74,0
2010-02-02,Japan,Venezuela,Friendly,0,DRAW,18.0,,82.0,1904.0,,404.0,26.4,,223500000.0,,,0.8,0.8666666666666667,14,2,12,0.4,0.5333333333333333,8,6,2,0,0,0,0,27,111,0
2010-02-06,Japan,China PR,EAFF Championship,0,DRAW,18.0,,,1904.0,,,26.4,26.65,223500000.0,,,0.6,0.7333333333333333,12,2,10,0.6,0.7333333333333333,7,3,4,10,6,2,2,4,20,0
2010-02-07,South Korea,Hong Kong,EAFF Championship,1,HOME,25.0,,75.0,1752.0,,252.0,27.5,,118800000.0,,,0.4,0.4666666666666667,5,5,0,0.2,0.26666666666666666,12,14,-2,10,10,0,0,16,32,0
2010-02-10,China PR,South Korea,EAFF Championship,1,HOME,,25.0,,,1752.0,,26.65,27.5,,118800000.0,,0.4,0.6,5,3,2,0.6,0.6,10,5,5,10,0,5,5,4,3,0
2010-02-10,Argentina,Jamaica,Friendly,0,HOME,3.0,,97.0,2113.0,,613.0,27.9,,575000000.0,,,0.6,0.6,9,9,0,0.6,0.7333333333333333,3,0,3,1,1,0,0,15,10,0
2010-02-11,Japan,Hong Kong,EAFF Championship,0,HOME,18.0,,82.0,1904.0,,404.0,26.4,,223500000.0,,,0.4,0.6,7,2,5,0.2,0.2,12,19,-7,10,8,0,2,5,4,0
2010-02-14,Hong Kong,China PR,EAFF Championship,1,AWAY,,,,,,,,26.65,,,,0.0,0.0,0,22,-22,0.4,0.6,7,3,4,10,1,6,3,3,4,0
2010-02-14,Japan,South Korea,EAFF Championship,0,AWAY,18.0,25.0,7.0,1904.0,1752.0,152.0,26.4,27.5,223500000.0,118800000.0,1.8813131313131313,0.6,0.7333333333333333,10,2,8,0.6,0.6,10,7,3,10,2,4,4,3,4,0
2010-02-16,Sri Lanka,Myanmar,AFC Challenge Cup,0,AWAY,,,0.0,,,0.0,,,,,,0.4,0.4,10,11,-1,0.8,0.8,11,6,5,6,1,5,0,67,180,0
2010-02-16,Tajikistan,Bangladesh,AFC Challenge Cup,1,AWAY,,,0.0,,,0.0,,,,,,0.4,0.4,4,11,-7,0.6,0.6666666666666666,10,4,6,5,4,0,1,45,70,0
2010-02-17,North Korea,Turkmenistan,AFC Challenge Cup,1,DRAW,,,,,,,25.3,,6900000.0,,,0.6,0.6,11,5,6,0.6,0.6,17,6,11,3,1,0,2,46,118,0
2010-02-18,Bangladesh,Myanmar,AFC Challenge Cup,1,AWAY,,,0.0,,,0.0,,,,,,0.8,0.8666666666666667,11,3,8,1.0,1.0,14,3,11,8,2,5,1,2,2,0
2010-02-18,Sri Lanka,Tajikistan,AFC Challenge Cup,0,AWAY,,,0.0,,,0.0,,,,,,0.4,0.4,9,11,-2,0.2,0.2,4,13,-9,1,0,1,0,2,2,0
2010-02-19,Kuwait,Syria,Friendly,1,DRAW,,,0.0,,,0.0,,,,,,0.2,0.4666666666666667,7,6,1,0.2,0.4,8,5,3,10,3,4,3,44,27,0
2010-02-19,Kyrgyzstan,North Korea,AFC Challenge Cup,1,AWAY,,,,,,,,25.3,,6900000.0,0.0,0.2,0.26666666666666666,6,9,-3,0.6,0.6666666666666666,11,2,9,0,0,0,0,175,2,0
2010-02-20,Tajikistan,Myanmar,AFC Challenge Cup,1,HOME,,,0.0,,,0.0,,,,,,0.4,0.4,6,10,-4,1.0,1.0,13,2,11,0,0,0,0,2,2,0
2010-02-20,Sri Lanka,Bangladesh,AFC Challenge Cup,0,HOME,,,0.0,,,0.0,,,,,,0.2,0.2,9,14,-5,0.6,0.6666666666666666,9,5,4,10,2,7,1,2,2,0
2010-02-21,Turkmenistan,Kyrgyzstan,AFC Challenge Cup,1,HOME,,,0.0,,,0.0,,,,,,0.4,0.4666666666666667,15,6,9,0.2,0.26666666666666666,6,10,-4,2,2,0,0,4,2,0
2010-02-24,North Korea,Myanmar,AFC Challenge Cup,1,HOME,,,,,,,25.3,,6900000.0,,,0.6,0.6666666666666666,7,2,5,0.8,0.8,9,5,4,4,3,0,1,5,4,0
2010-02-24,Mexico,Bolivia,Friendly,1,HOME,15.0,,85.0,1860.0,,360.0,25.6,,142100000.0,,,0.6,0.6666666666666666,11,5,6,0.2,0.2,3,10,-7,9,7,1,1,133,133,0
2010-02-24,Tajikistan,Turkmenistan,AFC Challenge Cup,1,AWAY,,,0.0,,,0.0,,,,,,0.6,0.6,9,5,4,0.4,0.4666666666666667,9,6,3,6,2,2,2,4,3,0
2010-02-24,United States,El Salvador,Friendly,0,HOME,16.0,,84.0,1721.0,,221.0,26.0,,169700000.0,,,0.2,0.26666666666666666,7,11,-4,0.2,0.2,3,8,-5,10,8,0,2,32,133,0
2010-02-25,Jordan,Azerbaijan,Friendly,0,AWAY,68.0,,32.0,1690.0,,190.0,28.5,,9300000.0,,,0.2,0.3333333333333333,4,6,-2,0.4,0.4666666666666667,5,6,-1,1,0,0,1,50,99,0
2010-02-25,Kuwait,Bahrain,Friendly,1,HOME,,,0.0,,,0.0,,,,,,0.2,0.4666666666666667,6,5,1,0.6,0.6,13,5,8,10,1,5,4,6,36,0
2010-02-25,Turkmenistan,North Korea,AFC Challenge Cup,1,DRAW,,,,,,,,25.3,,6900000.0,0.0,0.4,0.4666666666666667,6,6,0,0.6,0.6666666666666666,11,2,9,4,0,1,3,1,1,0
2010-02-27,Malaysia,Yemen,Friendly,0,HOME,,,0.0,,,0.0,,,,,,0.4,0.4,11,8,3,0.6,0.6,10,6,4,2,1,1,0,52,38,0
2010-02-27,Tajikistan,Myanmar,AFC Challenge Cup,1,HOME,,,0.0,,,0.0,,,,,,0.6,0.6,8,5,3,0.6,0.6,7,9,-2,1,1,0,0,3,3,0
2010-03-02,Republic of Ireland,Brazil,Friendly,1,AWAY,,6.0,,,1984.0,,27.48,27.8,,932000000.0,,0.2,0.4,4,4,0,0.6,0.6666666666666666,8,4,4,6,1,4,1,104,105,0
2010-03-02,Guadeloupe,St. Kitts and Nevis,Friendly,0,HOME,,,0.0,,,0.0,,,,,,0.4,0.4666666666666667,5,8,-3,0.2,0.26666666666666666,9,9,0,2,0,2,0,180,163,0
2010-03-03,Malta,Finland,Friendly,0,AWAY,,,0.0,,,0.0,,,,,,0.0,0.0,2,13,-11,0.4,0.5333333333333333,6,6,0,6,1,3,2,105,44,0
2010-03-03,Mexico,New Zealand,Friendly,1,HOME,15.0,95.0,80.0,1860.0,1585.0,275.0,25.6,27.8,142100000.0,16430000.0,8.648813146682897,0.6,0.6666666666666666,13,5,8,0.4,0.5333333333333333,4,3,1,1,0,1,0,7,109,0
2010-03-03,Mozambique,Botswana,Friendly,0,AWAY,,,0.0,,,0.0,,,,,,0.0,0.06666666666666667,2,10,-8,0.4,0.4666666666666667,4,5,-1,10,5,3,2,42,128,0
2010-03-03,Netherlands,United States,Friendly,0,HOME,7.0,16.0,9.0,1961.0,1721.0,240.0,26.6,26.0,808000000.0,169700000.0,4.761343547436653,0.4,0.6,4,0,4,0.2,0.26666666666666666,6,10,-4,3,3,0,0,105,7,0
2010-03-03,Nigeria,Congo DR,Friendly,0,HOME,,51.0,,,1655.0,,25.96,28.1,134720000.0,134050000.0,1.0049981350242447,0.6,0.6666666666666666,5,1,4,0.2,0.26666666666666666,6,10,-4,6,4,2,0,32,140,0
2010-03-03,Oman,Kuwait,AFC Asian Cup qualification,0,DRAW,,,0.0,,,0.0,,,,,,0.4,0.4,7,7,0,0.2,0.4666666666666667,8,5,3,10,3,3,4,42,6,0
2010-03-03,Poland,Bulgaria,Friendly,0,HOME,,,,,,,27.0,,255600000.0,,,0.6,0.6,10,4,6,0.6,0.6,15,10,5,10,7,1,2,39,105,0
2010-03-03,Portugal,China PR,Friendly,0,HOME,5.0,,,1984.0,,,27.1,26.65,841000000.0,,,1.0,1.0,10,0,10,0.6,0.7333333333333333,7,1,6,1,1,0,0,105,17,0
2010-03-03,Romania,Israel,Friendly,0,AWAY,,,0.0,,,0.0,,,,,,0.4,0.5333333333333333,6,8,-2,0.4,0.5333333333333333,11,3,8,10,6,3,1,109,140,0
2010-03-03,Scotland,Czech Republic,Friendly,0,HOME,47.0,41.0,-6.0,1767.0,1726.0,41.0,29.1,27.1,211450000.0,115900000.0,1.8244176013805005,0.2,0.2,2,10,-8,0.4,0.5333333333333333,9,2,7,3,0,3,0,109,105,0
2010-03-03,North Macedonia,Montenegro,Friendly,0,HOME,,,0.0,,,0.0,,,,,,0.4,0.4666666666666667,7,6,1,0.4,0.5333333333333333,5,6,-1,1,0,1,0,105,105,0
2010-03-03,Slovenia,Qatar,Friendly,0,HOME,,35.0,,,1425.0,,27.7,27.8,150600000.0,18000000.0,8.366666666666667,0.8,0.8,10,2,8,0.4,0.4666666666666667,5,5,0,0,0,0,0,105,60,0
2010-03-03,South Africa,Namibia,Friendly,0,DRAW,60.0,,40.0,1524.0,,24.0,26.3,,44450000.0,,,0.2,0.4,4,2,2,0.2,0.4,6,3,3,5,3,1,1,35,129,0
2010-03-03,Switzerland,Uruguay,Friendly,0,AWAY,19.0,17.0,-2.0,1889.0,1892.0,-3.0,27.5,26.6,251000000.0,419200000.0,0.5987595419847328,0.4,0.5333333333333333,7,3,4,0.6,0.6666666666666666,7,4,3,3,0,2,1,109,105,0
2010-03-03,Syria,Lebanon,AFC Asian Cup qualification,0,HOME,,,0.0,,,0.0,,,,,,0.2,0.4,9,6,3,0.0,0.13333333333333333,2,6,-4,10,7,1,2,12,56,0
